checklist_id,observer_id,sampling_event_identifier,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,time_observations_started,duration_minutes,effort_distance_km,number_observers,norbob,whiibi,woothr,route_id,bbs,type
S37131755,obs134179,S37131755,US-GA,L2866529,31.3667928,-81.568315,Traveling,TRUE,2017-05-25,7.383333333333334,22,1.931,1,0,0,0,NA,0,test_2017
S37131569,obs359172,S37131569,US-NC,L2367181,35.8512134,-75.8578491,Traveling,TRUE,2017-05-25,6.1,76,1.609,1,0,0,0,NA,0,test_2017
S37521837,obs465392,S37521837,US-SC,L1449494,33.9339968,-81.03954,Traveling,TRUE,2017-06-10,6.333333333333333,200,4.023,2,0,0,2,NA,0,test_2017
S37522427,obs197350,S37522427,US-VA,L1457672,37.3755419,-76.7644487,Traveling,TRUE,2017-06-11,6.666666666666667,25,0.322,1,0,0,0,NA,0,test_2017
S37522442,obs751425,S37522442,US-SC,L5960105,33.007894,-80.199066,Stationary,TRUE,2017-06-11,7.8,5,0,1,0,0,0,NA,0,test_2017
S37131590,obs510403,S37131590,US-FL,L5879007,30.2558138,-81.7498489,Stationary,TRUE,2017-05-25,7.166666666666667,16,0,2,0,25,0,NA,0,test_2017
S37521801,obs196652,S37521801,US-FL,L2509177,30.374023,-81.7898762,Stationary,TRUE,2017-06-11,6.15,16,0,1,0,0,0,NA,0,test_2017
S37522297,obs428519,S37522297,US-AL,L4910685,31.1888266,-85.241259,Stationary,TRUE,2017-06-10,6.5,120,0,1,0,0,0,NA,0,test_2017
S46074995,obs662606,S46074995,US-MS,L7206023,30.349914,-88.517803,Stationary,TRUE,2018-05-27,12.416666666666666,55,0,1,0,0,0,NA,0,train
S36874809,obs41973,S36874809,US-VA,L2319611,36.7493167,-76.0536075,Traveling,TRUE,2017-05-15,9.45,48,1.287,1,0,0,0,NA,0,test_2017
S36898310,obs94083,S36898310,US-GA,L958028,31.3252301,-81.6377521,Traveling,TRUE,2017-05-15,11.6,34,0.483,1,0,1,0,NA,0,test_2017
S36898091,obs457196,S36898091,US-VA,L2595783,36.8765928,-76.1435151,Stationary,TRUE,2017-05-15,19.566666666666666,34,0,1,0,0,0,NA,0,test_2017
S36877287,obs555245,S36877287,US-FL,L5572118,30.421,-84.234,Stationary,TRUE,2017-05-15,7.966666666666667,8,0,1,0,0,0,NA,0,test_2017
S36878428,obs865822,S36878428,US-AL,L165792,30.2294449,-88.0180432,Stationary,TRUE,2017-05-15,9.2,180,0,3,0,0,0,NA,0,test_2017
S36877119,obs291687,S36877119,US-GA,L5840481,32.442482,-82.898176,Stationary,TRUE,2017-05-15,12.333333333333334,18,0,2,0,0,0,NA,0,test_2017
S36877822,obs923144,S36877822,US-GA,L5840609,33.4555114,-82.1063652,Stationary,TRUE,2017-05-15,12.816666666666666,40,0,1,0,0,0,NA,0,test_2017
S36888159,obs286789,S36888159,US-NC,L5525295,35.4480851,-78.5364318,Traveling,TRUE,2017-05-15,11.766666666666667,5,0.644,1,0,0,0,NA,0,test_2017
S36877470,obs200438,S36877470,US-AL,L2120992,30.5076793,-87.9127264,Stationary,TRUE,2017-05-15,11,30,0,2,0,0,0,NA,0,test_2017
S36875048,obs639144,S36875048,US-GA,L2754456,31.9884761,-81.2908459,Stationary,TRUE,2017-05-15,11.45,11,0,2,0,0,0,NA,0,test_2017
S36874678,obs919247,S36874678,US-FL,L5840088,30.414304,-84.316335,Stationary,TRUE,2017-05-15,10.3,120,0,1,0,0,0,NA,0,test_2017
S36887581,obs542151,S36887581,US-NC,L3129074,35.5622821,-75.4715037,Stationary,TRUE,2017-05-15,15.25,45,0,1,0,0,0,NA,0,test_2017
S36902102,obs188325,S36902102,US-FL,L4209641,30.7773212,-86.5379108,Stationary,TRUE,2017-05-16,7.5,37,0,1,0,0,0,NA,0,test_2017
S36884721,obs252136,S36884721,US-SC,L1130866,32.7434646,-79.9136066,Traveling,TRUE,2017-05-15,16.333333333333332,15,0.145,1,0,0,0,NA,0,test_2017
S36887087,obs652359,S36887087,US-TN,L131171,35.3410346,-90.05476,Traveling,TRUE,2017-05-15,6.5,120,4.828,1,0,0,0,NA,0,test_2017
S36881632,obs286789,S36881632,US-NC,L5525265,35.4793338,-78.514148,Traveling,TRUE,2017-05-15,11.083333333333334,13,0.08,1,0,0,0,NA,0,test_2017
S41536241,obs530630,S41536241,US-SC,L8093976,33.554329,-80.583167,Stationary,TRUE,2017-05-28,12.083333333333334,20,0,1,0,0,0,NA,0,test_2017
S41418708,obs994949,S41418708,US-VA,L6628141,38.1703372,-76.8635595,Traveling,TRUE,2017-06-13,10,120,1.609,2,0,0,0,NA,0,test_2017
S41537619,obs530630,S41537619,US-SC,L8093976,33.554329,-80.583167,Stationary,TRUE,2017-06-21,13.05,15,0,1,0,0,0,NA,0,test_2017
S41536050,obs530630,S41536050,US-SC,L8093976,33.554329,-80.583167,Traveling,TRUE,2017-05-20,17.016666666666666,40,0.08,1,0,0,0,NA,0,test_2017
S41536754,obs530630,S41536754,US-SC,L8093976,33.554329,-80.583167,Stationary,TRUE,2017-06-02,11,31,0,1,0,0,0,NA,0,test_2017
S41536949,obs530630,S41536949,US-SC,L8093976,33.554329,-80.583167,Stationary,TRUE,2017-06-03,15,28,0,1,0,0,0,NA,0,test_2017
S38526912,obs447687,S38526912,US-AL,L4921819,33.1879866,-87.422758,Stationary,TRUE,2017-06-30,18.2,14,0,1,0,0,0,NA,0,test_2017
S39049346,obs124398,S39049346,US-SC,L6249729,33.824416,-78.740710000000007,Stationary,TRUE,2017-05-24,9.45,5,0,1,0,0,0,NA,0,test_2017
S38574146,obs951175,S38574146,US-GA,L6169403,32.581005,-82.947572,Stationary,TRUE,2017-06-12,14,120,0,1,0,0,0,NA,0,test_2017
S39048925,obs124398,S39048925,US-SC,L6249669,33.823351,-78.724354,Stationary,TRUE,2017-05-23,7.5,5,0,1,0,0,0,NA,0,test_2017
S39297231,obs178798,S39297231,US-NC,L6285358,35.2217477,-79.4032413,Traveling,TRUE,2017-05-31,14.5,60,1.609,1,0,0,0,NA,0,test_2017
S39049445,obs124398,S39049445,US-SC,L6249750,33.827317,-78.719267,Stationary,TRUE,2017-05-25,7.8,5,0,1,0,0,0,NA,0,test_2017
S39049375,obs124398,S39049375,US-SC,L6249738,33.821771,-78.739069,Stationary,TRUE,2017-05-24,14.7,5,0,1,0,0,0,NA,0,test_2017
S39050822,obs124398,S39050822,US-SC,L6249913,33.841131,-78.737601,Stationary,TRUE,2017-05-25,9.75,5,0,1,0,0,0,NA,0,test_2017
S39027655,obs144443,S39027655,US-NC,L506738,34.0890613,-78.2933807,Traveling,TRUE,2017-06-13,14.666666666666666,200,4.828,1,3,0,0,NA,0,test_2017
S39053639,obs290154,S39053639,US-VA,L3028165,38.2234905,-77.1772385,Stationary,TRUE,2017-06-22,17.883333333333333,3,0,1,0,0,1,NA,0,test_2017
S39982299,obs503183,S39982299,US-MS,L1035747,33.5128997,-88.4921533,Traveling,TRUE,2017-06-23,6.166666666666667,235,1.931,1,0,0,1,NA,0,test_2017
S39830760,obs231506,S39830760,US-AL,L6340941,31.7122,-85.8079,Stationary,TRUE,2017-05-25,5.316666666666666,3,0,1,0,0,0,86,1,other
S39037554,obs457196,S39037554,US-VA,L2595783,36.8765928,-76.1435151,Stationary,TRUE,2017-05-27,11.6,72,0,1,0,0,0,NA,0,test_2017
S39830766,obs231506,S39830766,US-AL,L6340948,31.6915,-85.7675,Stationary,TRUE,2017-05-25,5.916666666666667,3,0,1,0,0,0,86,1,other
S39830767,obs231506,S39830767,US-AL,L6340949,31.6847,-85.7667,Stationary,TRUE,2017-05-25,6.016666666666667,3,0,1,0,0,0,86,1,other
S39830772,obs231506,S39830772,US-AL,L6340954,31.6559,-85.7462,Stationary,TRUE,2017-05-25,6.516666666666667,3,0,1,0,0,0,86,1,other
S39830781,obs231506,S39830781,US-AL,L6340963,31.6158,-85.7878,Stationary,TRUE,2017-05-25,7.533333333333333,3,0,1,0,0,0,86,1,other
S39830788,obs231506,S39830788,US-AL,L6340970,31.6083,-85.8273,Stationary,TRUE,2017-05-25,8.25,3,0,1,0,0,0,86,1,other
