checklist_id,pland_00,pland_01,pland_02,pland_03,pland_04,pland_05,pland_06,pland_08,pland_09,pland_10,pland_11,pland_12,pland_13,pland_14,pland_15
S37131755,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0
S37131569,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
S37521837,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S37522427,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S37522442,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S37131590,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S37521801,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S37522297,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
S46074995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S36874809,0,0,0,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,0.16666666666666666,0
S36898310,0,0.2,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0
S36898091,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S36877287,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0
S36878428,0.16666666666666666,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0.16666666666666666
S36877119,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S36877822,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S36888159,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0.16666666666666666,0
S36877470,0.2,0,0.2,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0
S36875048,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S36874678,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S36887581,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0
S36902102,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S36884721,0.2,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0
S36887087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S36881632,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0,0.2,0
S41536241,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0
S41418708,0.25,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0
S41537619,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0
S41536050,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0
S41536754,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0
S41536949,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0
S38526912,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S39049346,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S38574146,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
S39048925,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S39297231,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S39049445,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0
S39049375,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S39050822,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
S39027655,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0
S39053639,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39982299,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S39830760,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39037554,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S39830766,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830767,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830772,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S39830788,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
